seller_sk	total_orders	delivered_orders	delayed_orders	avg_delivery_days	avg_estimated_gap_days	delay_rate	avg_freight_value	avg_review_score	delivery_segment	dwh_create_date
1638	310	309	43	16.12	-8.99	13.23	23.83	3.65	REGULAR	2026-05-15 09:48:36.073
2471	16	12	2	20.83	-16.33	10.53	39.71	2.42	REGULAR	2026-05-15 09:48:36.073
2966	1	2	2	25	3	100.00	15.75	1	DELIVERY_RISK	2026-05-15 09:48:36.073
2302	2	1	0	14	-13	0.00	9.84	3	GOOD_DELIVERY	2026-05-15 09:48:36.073
2866	4	4	0	7.5	-13	0.00	54.17	4	FAST_RELIABLE	2026-05-15 09:48:36.073
1784	25	32	0	10.44	-9.69	0.00	11.78	4.34	FAST_RELIABLE	2026-05-15 09:48:36.073
2448	44	47	4	9	-11.26	7.69	17.09	4.02	GOOD_DELIVERY	2026-05-15 09:48:36.073
2325	3	1	0	5	-18	0.00	29.31	2.67	GOOD_DELIVERY	2026-05-15 09:48:36.073
2989	2	2	1	10	-6.5	50.00	25.14	4.5	DELIVERY_RISK	2026-05-15 09:48:36.073
1014	358	400	16	13.29	-11.61	3.90	31.90	4.06	FAST_RELIABLE	2026-05-15 09:48:36.073
1097	125	124	8	12.06	-14.65	6.30	15.97	4.17	GOOD_DELIVERY	2026-05-15 09:48:36.073
2425	9	14	0	11.5	-19	0.00	25.69	3.93	GOOD_DELIVERY	2026-05-15 09:48:36.073
2093	44	38	12	25.42	-9.08	27.27	54.08	3.07	REGULAR	2026-05-15 09:48:36.073
2342	1	0	0	NULL	NULL	0.00	14.10	1	GOOD_DELIVERY	2026-05-15 09:48:36.073
2674	4	4	2	14.25	-4	50.00	53.60	4.25	DELIVERY_RISK	2026-05-15 09:48:36.073
1346	1	0	0	NULL	NULL	0.00	16.28	1	GOOD_DELIVERY	2026-05-15 09:48:36.073
2734	67	73	4	10	-13.62	5.48	19.39	4.38	GOOD_DELIVERY	2026-05-15 09:48:36.073
78	62	70	11	10.86	-9.11	15.28	20.83	3.76	REGULAR	2026-05-15 09:48:36.073
1406	13	13	1	7.77	-8.38	7.69	40.59	4.77	GOOD_DELIVERY	2026-05-15 09:48:36.073
3029	11	5	2	30.2	-5.6	18.18	15.98	2.36	REGULAR	2026-05-15 09:48:36.073
410	5	5	0	11	-20.2	0.00	45.95	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1701	8	9	1	9.11	-10.11	11.11	15.66	4.78	REGULAR	2026-05-15 09:48:36.073
1738	1	2	0	11	-9	0.00	22.25	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2033	1	2	0	8	-14	0.00	14.08	4	FAST_RELIABLE	2026-05-15 09:48:36.073
1300	76	86	3	11.08	-14.17	3.49	17.28	4	FAST_RELIABLE	2026-05-15 09:48:36.073
1051	22	22	2	6.68	-6.5	9.09	18.49	3.77	GOOD_DELIVERY	2026-05-15 09:48:36.073
218	4	4	2	13.25	-4.25	50.00	12.76	4.25	DELIVERY_RISK	2026-05-15 09:48:36.073
968	1	1	0	9	-26	0.00	102.57	5	FAST_RELIABLE	2026-05-15 09:48:36.073
719	1	1	0	7	-1	0.00	8.90	5	FAST_RELIABLE	2026-05-15 09:48:36.073
659	46	48	5	8.9	-10.42	10.20	17.75	4.27	REGULAR	2026-05-15 09:48:36.073
327	21	22	2	7.45	-12	9.09	17.18	4.55	GOOD_DELIVERY	2026-05-15 09:48:36.073
573	7	9	0	7	-9.78	0.00	13.81	4.44	FAST_RELIABLE	2026-05-15 09:48:36.073
32	12	15	0	8.6	-11.07	0.00	12.88	4.44	FAST_RELIABLE	2026-05-15 09:48:36.073
1987	24	25	3	12.84	-10.6	11.54	14.96	4.04	REGULAR	2026-05-15 09:48:36.073
905	25	38	1	8.11	-10.29	2.63	26.86	4.18	FAST_RELIABLE	2026-05-15 09:48:36.073
1655	6	6	0	8.67	-18.17	0.00	20.68	5	FAST_RELIABLE	2026-05-15 09:48:36.073
364	5	5	0	7.4	-14.2	0.00	17.42	3.8	GOOD_DELIVERY	2026-05-15 09:48:36.073
1841	84	92	3	7.88	-11.07	3.19	12.55	4.05	FAST_RELIABLE	2026-05-15 09:48:36.073
1260	10	10	0	13	-18.2	0.00	16.98	4.4	FAST_RELIABLE	2026-05-15 09:48:36.073
513	4	4	1	16.75	-5.25	25.00	14.84	4.25	REGULAR	2026-05-15 09:48:36.073
2926	1	1	0	7	-6	0.00	8.29	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1154	325	343	20	11.33	-11.25	5.78	39.48	3.95	GOOD_DELIVERY	2026-05-15 09:48:36.073
1947	8	8	0	3.88	-10.88	0.00	11.55	4.75	FAST_RELIABLE	2026-05-15 09:48:36.073
613	14	15	0	8.2	-16.6	0.00	25.63	4.73	FAST_RELIABLE	2026-05-15 09:48:36.073
2488	12	12	2	16.58	-9.92	16.67	143.64	4.33	REGULAR	2026-05-15 09:48:36.073
619	5	3	0	7.67	-10	0.00	28.33	3	GOOD_DELIVERY	2026-05-15 09:48:36.073
1160	1	1	0	7	-26	0.00	21.71	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2388	7	8	0	6.13	-15.25	0.00	13.49	4.88	FAST_RELIABLE	2026-05-15 09:48:36.073
2634	6	6	0	9.67	-15.5	0.00	26.41	3.5	GOOD_DELIVERY	2026-05-15 09:48:36.073
2880	1	1	1	21	4	100.00	24.12	4	DELIVERY_RISK	2026-05-15 09:48:36.073
467	1	1	1	14	4	100.00	13.40	4	DELIVERY_RISK	2026-05-15 09:48:36.073
1552	1	1	0	12	-14	0.00	50.62	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2780	62	71	11	14.69	-9.18	15.49	14.58	3.56	REGULAR	2026-05-15 09:48:36.073
321	19	15	1	14.93	-19.6	5.26	14.78	3.37	GOOD_DELIVERY	2026-05-15 09:48:36.073
2239	5	5	1	13	-8.8	20.00	14.70	4.6	REGULAR	2026-05-15 09:48:36.073
3095	20	8	0	12.75	-48	0.00	17.23	2.1	GOOD_DELIVERY	2026-05-15 09:48:36.073
178	43	42	6	15.93	-12.79	13.95	16.00	4.3	REGULAR	2026-05-15 09:48:36.073
676	5	5	2	16.2	-5.8	40.00	89.07	4.4	DELIVERY_RISK	2026-05-15 09:48:36.073
1174	3	3	0	7.67	-22	0.00	22.86	5	FAST_RELIABLE	2026-05-15 09:48:36.073
510	5	6	0	6.83	-17.67	0.00	10.38	3.17	GOOD_DELIVERY	2026-05-15 09:48:36.073
12	2	2	0	9	-8.5	0.00	15.98	4.5	FAST_RELIABLE	2026-05-15 09:48:36.073
1008	1	1	0	16	-14	0.00	23.13	2	GOOD_DELIVERY	2026-05-15 09:48:36.073
367	27	29	3	13.97	-10.45	10.34	18.00	4.31	REGULAR	2026-05-15 09:48:36.073
35	21	24	0	10.79	-15.04	0.00	19.93	4.54	FAST_RELIABLE	2026-05-15 09:48:36.073
2574	15	15	0	7.4	-11.47	0.00	12.19	4.8	FAST_RELIABLE	2026-05-15 09:48:36.073
2740	3	0	0	NULL	NULL	0.00	10.63	2.5	GOOD_DELIVERY	2026-05-15 09:48:36.073
1529	14	14	1	16.36	-10.71	7.14	16.01	4	GOOD_DELIVERY	2026-05-15 09:48:36.073
533	3	3	0	9.67	-10.67	0.00	19.90	3.67	GOOD_DELIVERY	2026-05-15 09:48:36.073
2027	3	3	0	8.33	-9.67	0.00	11.44	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2242	1	1	0	9	-46	0.00	14.52	5	FAST_RELIABLE	2026-05-15 09:48:36.073
3072	1	1	0	5	-14	0.00	23.64	4	FAST_RELIABLE	2026-05-15 09:48:36.073
2193	1	0	0	NULL	NULL	0.00	17.92	1	GOOD_DELIVERY	2026-05-15 09:48:36.073
1386	134	135	6	14.37	-22.04	4.29	27.39	3.36	GOOD_DELIVERY	2026-05-15 09:48:36.073
2219	45	47	1	11.77	-14.34	2.13	41.18	4.26	FAST_RELIABLE	2026-05-15 09:48:36.073
390	7	7	1	8.14	-4.57	14.29	17.71	4.29	REGULAR	2026-05-15 09:48:36.073
2382	9	9	1	16.56	-12.22	11.11	34.67	3.78	REGULAR	2026-05-15 09:48:36.073
2050	1	1	0	13	-32	0.00	27.02	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2883	1	1	0	9	-19	0.00	21.43	3	GOOD_DELIVERY	2026-05-15 09:48:36.073
2405	255	329	27	7.49	-8.95	8.16	11.44	4.28	GOOD_DELIVERY	2026-05-15 09:48:36.073
1200	5	4	3	28.25	7.75	60.00	15.86	2.4	DELIVERY_RISK	2026-05-15 09:48:36.073
155	6	6	0	8.5	-20.5	0.00	10.97	3.67	GOOD_DELIVERY	2026-05-15 09:48:36.073
1864	2	2	0	8	-10.5	0.00	26.84	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1409	10	11	1	10.09	-10.91	9.09	34.63	4.09	GOOD_DELIVERY	2026-05-15 09:48:36.073
2860	2	8	6	13.75	-0.5	75.00	14.85	5	DELIVERY_RISK	2026-05-15 09:48:36.073
868	2	1	0	7	-12	0.00	16.91	3	GOOD_DELIVERY	2026-05-15 09:48:36.073
1741	3	3	0	12	-10.67	0.00	24.96	4.33	FAST_RELIABLE	2026-05-15 09:48:36.073
1343	7	10	1	11.9	-13.6	10.00	15.08	4.4	GOOD_DELIVERY	2026-05-15 09:48:36.073
1509	5	5	0	13	-28.4	0.00	23.14	4.6	FAST_RELIABLE	2026-05-15 09:48:36.073
845	5	5	1	16.8	-4.8	20.00	19.61	4.4	REGULAR	2026-05-15 09:48:36.073
2007	1	1	0	6	-16	0.00	19.30	1	GOOD_DELIVERY	2026-05-15 09:48:36.073
1486	2	2	0	6.5	-14	0.00	10.39	4.25	FAST_RELIABLE	2026-05-15 09:48:36.073
553	125	135	17	12.05	-10.71	12.59	20.63	4.02	REGULAR	2026-05-15 09:48:36.073
2548	39	39	1	11.21	-14.38	2.56	70.51	4.41	FAST_RELIABLE	2026-05-15 09:48:36.073
135	8	8	2	18.5	-6.5	25.00	18.97	3.88	REGULAR	2026-05-15 09:48:36.073
1217	17	22	0	8.41	-11.55	0.00	12.14	4.62	FAST_RELIABLE	2026-05-15 09:48:36.073
2717	1	0	0	NULL	NULL	0.00	7.39	4	FAST_RELIABLE	2026-05-15 09:48:36.073
1884	1	1	0	19	-16	0.00	18.92	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1366	127	152	6	14.08	-14.15	3.85	19.76	4.25	FAST_RELIABLE	2026-05-15 09:48:36.073
702	40	47	0	10.89	-16.85	0.00	16.36	4.04	FAST_RELIABLE	2026-05-15 09:48:36.073
653	272	278	7	10.53	-13.57	2.49	21.65	4.26	FAST_RELIABLE	2026-05-15 09:48:36.073
112	4	6	4	29.5	4.17	66.67	182.75	2.5	DELIVERY_RISK	2026-05-15 09:48:36.073
1907	10	12	0	7.42	-17.17	0.00	20.77	4.42	FAST_RELIABLE	2026-05-15 09:48:36.073
1243	3	9	0	11.33	-13	0.00	13.05	4.11	FAST_RELIABLE	2026-05-15 09:48:36.073
3089	10	15	0	8.33	-10.27	0.00	13.77	4.87	FAST_RELIABLE	2026-05-15 09:48:36.073
1927	72	81	5	14.98	-11.58	6.17	21.26	4.53	GOOD_DELIVERY	2026-05-15 09:48:36.073
2176	11	12	2	22.58	-9.67	16.67	24.24	4.17	REGULAR	2026-05-15 09:48:36.073
1678	91	89	15	13.18	-11.52	15.46	12.98	3.7	REGULAR	2026-05-15 09:48:36.073
1429	2	2	0	8	-14	0.00	23.50	5	FAST_RELIABLE	2026-05-15 09:48:36.073
931	1	1	0	7	-9	0.00	24.84	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1180	2	4	0	8.25	-8.75	0.00	27.15	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2070	81	90	10	9.19	-11.43	11.11	13.39	4.44	REGULAR	2026-05-15 09:48:36.073
1572	37	42	1	8.02	-13.19	2.38	12.58	4.55	FAST_RELIABLE	2026-05-15 09:48:36.073
2697	5	5	0	7	-18.2	0.00	15.44	4.2	FAST_RELIABLE	2026-05-15 09:48:36.073
1074	2	2	0	15.5	-14	0.00	70.12	4	FAST_RELIABLE	2026-05-15 09:48:36.073
2568	1	1	0	13	-23	0.00	22.21	2	GOOD_DELIVERY	2026-05-15 09:48:36.073
882	1790	1933	214	14.43	-9.61	10.86	17.65	3.75	REGULAR	2026-05-15 09:48:36.073
55	23	24	3	11.58	-5.79	10.71	16.40	3.79	REGULAR	2026-05-15 09:48:36.073
304	1	1	0	25	-28	0.00	59.74	5	FAST_RELIABLE	2026-05-15 09:48:36.073
633	4	4	0	9	-17.25	0.00	22.97	2.5	GOOD_DELIVERY	2026-05-15 09:48:36.073
1715	7	12	4	23	-13.25	30.77	19.14	1.69	DELIVERY_RISK	2026-05-15 09:48:36.073
2554	1	1	0	4	-4	0.00	7.64	4	FAST_RELIABLE	2026-05-15 09:48:36.073
2319	7	7	0	11.29	-16.43	0.00	22.13	5	FAST_RELIABLE	2026-05-15 09:48:36.073
241	27	37	0	8.46	-15.84	0.00	15.43	3.81	GOOD_DELIVERY	2026-05-15 09:48:36.073
696	30	30	4	13.73	-10.5	12.50	48.48	3.94	REGULAR	2026-05-15 09:48:36.073
1323	5	6	0	9.17	-12	0.00	15.40	4.83	FAST_RELIABLE	2026-05-15 09:48:36.073
2946	1	1	0	6	-8	0.00	12.79	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1237	1	1	0	1	-7	0.00	7.55	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2511	22	24	1	6.75	-9.29	4.17	12.22	4.17	FAST_RELIABLE	2026-05-15 09:48:36.073
341	39	43	4	13.67	-16.28	9.30	19.34	3.7	GOOD_DELIVERY	2026-05-15 09:48:36.073
2760	2	2	0	10	-11.5	0.00	45.11	5	FAST_RELIABLE	2026-05-15 09:48:36.073
98	9	9	1	13.44	-12.67	11.11	18.88	4.33	REGULAR	2026-05-15 09:48:36.073
347	12	12	1	15.25	-9.5	8.33	14.76	4.5	GOOD_DELIVERY	2026-05-15 09:48:36.073
596	32	34	3	11.32	-14.32	8.82	80.24	4.44	GOOD_DELIVERY	2026-05-15 09:48:36.073
2262	1	1	0	3	-29	0.00	35.34	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2013	4	6	0	13	-20.17	0.00	21.52	2.17	GOOD_DELIVERY	2026-05-15 09:48:36.073
2113	16	17	2	12.59	-13.82	11.76	22.52	4.06	REGULAR	2026-05-15 09:48:36.073
988	6	6	0	12.83	-11.83	0.00	12.56	4.33	FAST_RELIABLE	2026-05-15 09:48:36.073
447	3	5	0	9.6	-5	0.00	12.01	4.6	FAST_RELIABLE	2026-05-15 09:48:36.073
490	1	2	0	7	-20	0.00	28.30	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2654	1	1	0	4	-9	0.00	11.78	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2611	1	1	0	12	-17	0.00	20.01	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2803	57	58	0	9.45	-18.95	0.00	49.25	4.59	FAST_RELIABLE	2026-05-15 09:48:36.073
888	1	1	0	13	-11	0.00	15.38	5	FAST_RELIABLE	2026-05-15 09:48:36.073
3052	15	26	2	11	-20.38	7.69	33.21	3.19	GOOD_DELIVERY	2026-05-15 09:48:36.073
1970	3	4	0	8.75	-14.5	0.00	22.72	3	GOOD_DELIVERY	2026-05-15 09:48:36.073
1721	5	5	4	48.8	12.8	50.00	123.70	1	DELIVERY_RISK	2026-05-15 09:48:36.073
639	2	1	0	16	-35	0.00	22.70	3	GOOD_DELIVERY	2026-05-15 09:48:36.073
739	54	100	12	12.75	-10.92	12.00	16.96	3.94	REGULAR	2026-05-15 09:48:36.073
2903	20	21	1	11.86	-19.86	4.76	25.37	4.57	FAST_RELIABLE	2026-05-15 09:48:36.073
1280	11	11	1	10.55	-13.73	8.33	16.23	4.25	GOOD_DELIVERY	2026-05-15 09:48:36.073
198	7	14	0	13.64	-8.14	0.00	18.91	4.07	FAST_RELIABLE	2026-05-15 09:48:36.073
2362	3	11	0	13.55	-17.55	0.00	15.96	4.67	FAST_RELIABLE	2026-05-15 09:48:36.073
1821	2	2	0	9.5	-17.5	0.00	16.72	3	GOOD_DELIVERY	2026-05-15 09:48:36.073
1850	12	13	1	7.85	-8.54	7.69	26.27	4.31	GOOD_DELIVERY	2026-05-15 09:48:36.073
1518	32	32	3	11.03	-10.88	9.38	21.00	4.25	GOOD_DELIVERY	2026-05-15 09:48:36.073
2182	6	7	0	5.29	-14.57	0.00	37.71	3.86	GOOD_DELIVERY	2026-05-15 09:48:36.073
2846	19	21	1	10.52	-13.14	4.76	13.10	3.86	GOOD_DELIVERY	2026-05-15 09:48:36.073
522	8	7	2	13.57	-5.29	25.00	15.61	3.13	REGULAR	2026-05-15 09:48:36.073
854	1	1	0	16	-5	0.00	19.73	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2514	1	1	0	7	-9	0.00	18.51	1	GOOD_DELIVERY	2026-05-15 09:48:36.073
1186	2	0	0	NULL	NULL	0.00	10.34	1	GOOD_DELIVERY	2026-05-15 09:48:36.073
1541	556	562	68	15.69	-10.83	11.95	14.81	3.97	REGULAR	2026-05-15 09:48:36.073
1873	44	65	15	7	-10.18	22.73	19.75	3.39	REGULAR	2026-05-15 09:48:36.073
2537	6	7	0	7.57	-10.71	0.00	15.94	4.71	FAST_RELIABLE	2026-05-15 09:48:36.073
2869	7	11	0	22.27	-28.36	0.00	20.69	4	FAST_RELIABLE	2026-05-15 09:48:36.073
2205	2	1	0	9	-21	0.00	20.51	2	GOOD_DELIVERY	2026-05-15 09:48:36.073
1209	1	1	0	17	-2	0.00	23.87	4	FAST_RELIABLE	2026-05-15 09:48:36.073
476	7	6	0	7.17	-6	0.00	12.60	4.29	FAST_RELIABLE	2026-05-15 09:48:36.073
1140	36	38	0	10.63	-13.45	0.00	17.35	4.32	FAST_RELIABLE	2026-05-15 09:48:36.073
144	1	15	0	15	-21	0.00	1.20	5	FAST_RELIABLE	2026-05-15 09:48:36.073
808	3	1	0	7	-48	0.00	45.80	2.33	GOOD_DELIVERY	2026-05-15 09:48:36.073
167	156	188	19	11.25	-10.95	10.11	27.13	3.91	REGULAR	2026-05-15 09:48:36.073
499	30	30	2	14.43	-12.8	6.67	21.08	3.8	GOOD_DELIVERY	2026-05-15 09:48:36.073
1827	22	23	1	13.26	-12.43	4.17	83.71	4.04	FAST_RELIABLE	2026-05-15 09:48:36.073
1495	5	7	0	8.57	-22.43	0.00	20.62	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1163	2	2	0	10	-10.5	0.00	17.44	4.5	FAST_RELIABLE	2026-05-15 09:48:36.073
831	1	1	0	12	-38	0.00	22.06	3	GOOD_DELIVERY	2026-05-15 09:48:36.073
353	262	321	16	8.29	-11.7	4.92	12.90	4.05	FAST_RELIABLE	2026-05-15 09:48:36.073
2351	121	120	17	12.81	-10.14	13.93	19.53	3.81	REGULAR	2026-05-15 09:48:36.073
1681	315	410	50	14.79	-9.65	11.71	15.97	3.37	REGULAR	2026-05-15 09:48:36.073
1017	71	110	10	11.3	-12.6	9.01	21.55	3.55	GOOD_DELIVERY	2026-05-15 09:48:36.073
3015	1	0	0	NULL	NULL	0.00	11.49	4	FAST_RELIABLE	2026-05-15 09:48:36.073
1687	2	5	0	13.8	-17.6	0.00	13.65	3.4	GOOD_DELIVERY	2026-05-15 09:48:36.073
330	141	170	6	15.71	-15.35	3.53	17.01	3.94	GOOD_DELIVERY	2026-05-15 09:48:36.073
2992	58	75	3	9.99	-14.61	3.95	17.05	4.19	FAST_RELIABLE	2026-05-15 09:48:36.073
1000	3	3	1	25.67	-7.33	33.33	22.28	4	DELIVERY_RISK	2026-05-15 09:48:36.073
994	10	10	0	6.2	-13.7	0.00	10.91	3.73	GOOD_DELIVERY	2026-05-15 09:48:36.073
2328	3	5	0	6.6	-21.6	0.00	13.57	4.2	FAST_RELIABLE	2026-05-15 09:48:36.073
453	4	5	0	7	-9.4	0.00	26.68	4.4	FAST_RELIABLE	2026-05-15 09:48:36.073
1664	1	1	0	13	-3	0.00	43.71	5	FAST_RELIABLE	2026-05-15 09:48:36.073
307	165	169	9	15.04	-12.98	5.11	24.12	4.16	GOOD_DELIVERY	2026-05-15 09:48:36.073
2228	14	14	1	9.64	-9.07	7.14	27.73	4.21	GOOD_DELIVERY	2026-05-15 09:48:36.073
2892	3	4	0	4.75	-9.75	0.00	14.53	4	FAST_RELIABLE	2026-05-15 09:48:36.073
3061	1	1	0	5	-3	0.00	14.51	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2915	8	10	0	3.9	-12.8	0.00	8.75	4.3	FAST_RELIABLE	2026-05-15 09:48:36.073
2374	7	8	0	12.63	-16.5	0.00	15.28	3.88	GOOD_DELIVERY	2026-05-15 09:48:36.073
3038	2	2	1	11.5	-3	50.00	12.18	4.5	DELIVERY_RISK	2026-05-15 09:48:36.073
267	1	1	0	9	-12	0.00	19.32	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2437	1	0	0	NULL	NULL	0.00	251.50	1	GOOD_DELIVERY	2026-05-15 09:48:36.073
2769	3	2	2	33.5	5.5	66.67	11.11	2.33	DELIVERY_RISK	2026-05-15 09:48:36.073
516	1	1	0	6	-34	0.00	18.00	5	FAST_RELIABLE	2026-05-15 09:48:36.073
184	1	1	0	5	-17	0.00	20.10	3	GOOD_DELIVERY	2026-05-15 09:48:36.073
1203	53	54	4	13.43	-10.98	7.27	31.32	4.11	GOOD_DELIVERY	2026-05-15 09:48:36.073
2082	12	12	2	17.92	-7.08	16.67	22.16	4.25	REGULAR	2026-05-15 09:48:36.073
1750	2	2	0	11	-9.5	0.00	38.80	4	FAST_RELIABLE	2026-05-15 09:48:36.073
3078	1	1	0	9	-44	0.00	10.96	4	FAST_RELIABLE	2026-05-15 09:48:36.073
871	1	2	0	6	-2	0.00	9.02	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1641	509	512	18	14.72	-15.69	3.45	16.50	4.14	FAST_RELIABLE	2026-05-15 09:48:36.073
230	8	9	0	11.56	-9.89	0.00	17.19	4.44	FAST_RELIABLE	2026-05-15 09:48:36.073
2391	10	11	0	5.18	-17.18	0.00	20.90	4.45	FAST_RELIABLE	2026-05-15 09:48:36.073
2723	1	1	0	30	-15	0.00	28.80	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1309	3	3	0	12.33	-11.33	0.00	20.03	4.67	FAST_RELIABLE	2026-05-15 09:48:36.073
1395	2	5	0	8.6	-3.6	0.00	9.17	3.4	GOOD_DELIVERY	2026-05-15 09:48:36.073
1063	5	7	0	7.29	-13.14	0.00	9.52	5	FAST_RELIABLE	2026-05-15 09:48:36.073
562	1	1	0	12	-15	0.00	17.35	5	FAST_RELIABLE	2026-05-15 09:48:36.073
313	11	10	0	10.7	-14.2	0.00	22.41	3.55	GOOD_DELIVERY	2026-05-15 09:48:36.073
1890	2	2	1	16.5	-6.5	50.00	23.84	5	DELIVERY_RISK	2026-05-15 09:48:36.073
1558	1	0	0	NULL	NULL	0.00	22.03	1	GOOD_DELIVERY	2026-05-15 09:48:36.073
2577	69	69	5	13.29	-13.06	7.25	27.76	4.19	GOOD_DELIVERY	2026-05-15 09:48:36.073
376	18	18	1	11.11	-11.5	5.56	15.18	4.44	GOOD_DELIVERY	2026-05-15 09:48:36.073
708	15	15	0	10.93	-9.13	0.00	28.49	4.67	FAST_RELIABLE	2026-05-15 09:48:36.073
2036	5	5	0	11.4	-12	0.00	16.48	4.2	FAST_RELIABLE	2026-05-15 09:48:36.073
954	8	8	1	13.88	-5.13	11.11	14.02	3.56	REGULAR	2026-05-15 09:48:36.073
1249	4	7	0	13	-15.14	0.00	17.11	5	FAST_RELIABLE	2026-05-15 09:48:36.073
917	1	2	0	8	-14	0.00	15.62	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1704	1	1	0	12	-41	0.00	11.17	3	GOOD_DELIVERY	2026-05-15 09:48:36.073
2245	1	1	0	23	-9	0.00	15.10	5	FAST_RELIABLE	2026-05-15 09:48:36.073
622	1	1	1	33	0	100.00	16.79	2	DELIVERY_RISK	2026-05-15 09:48:36.073
1355	204	212	12	9.11	-11.65	5.58	13.50	4.34	GOOD_DELIVERY	2026-05-15 09:48:36.073
1349	5	5	0	10.4	-17	0.00	42.87	3.4	GOOD_DELIVERY	2026-05-15 09:48:36.073
1604	8	7	0	21.43	-26	0.00	21.26	4	FAST_RELIABLE	2026-05-15 09:48:36.073
21	9	12	0	12.5	-9.33	0.00	14.88	4.08	FAST_RELIABLE	2026-05-15 09:48:36.073
2932	8	8	0	12.38	-12.25	0.00	50.69	4.25	FAST_RELIABLE	2026-05-15 09:48:36.073
768	7	9	0	11.11	-17.78	0.00	17.83	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2683	1	1	0	16	-4	0.00	19.28	5	FAST_RELIABLE	2026-05-15 09:48:36.073
121	7	7	0	5.14	-7.57	0.00	12.57	4.86	FAST_RELIABLE	2026-05-15 09:48:36.073
668	2	1	1	45	24	50.00	17.70	1	DELIVERY_RISK	2026-05-15 09:48:36.073
2291	5	5	1	12.2	-10.8	20.00	13.77	3.8	REGULAR	2026-05-15 09:48:36.073
1455	3	3	0	3.33	-13.33	0.00	7.78	4	FAST_RELIABLE	2026-05-15 09:48:36.073
1996	7	8	0	7.63	-12	0.00	30.33	3.13	GOOD_DELIVERY	2026-05-15 09:48:36.073
662	1	1	0	4	-7	0.00	8.43	5	FAST_RELIABLE	2026-05-15 09:48:36.073
127	2	2	0	5	-10	0.00	11.40	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1057	20	20	1	9.05	-13.7	5.00	27.55	4.4	FAST_RELIABLE	2026-05-15 09:48:36.073
814	3	5	0	10.4	-17.4	0.00	27.06	4.8	FAST_RELIABLE	2026-05-15 09:48:36.073
1896	14	20	1	11.5	-14.6	5.00	19.89	4.6	FAST_RELIABLE	2026-05-15 09:48:36.073
2142	2	2	0	13	-18	0.00	23.52	4	FAST_RELIABLE	2026-05-15 09:48:36.073
2975	16	16	1	11.25	-17.13	6.25	18.77	4.44	GOOD_DELIVERY	2026-05-15 09:48:36.073
2978	3	3	1	15.33	-5.67	33.33	24.83	3.67	DELIVERY_RISK	2026-05-15 09:48:36.073
2829	3	2	0	8.5	-9	0.00	17.84	2.67	GOOD_DELIVERY	2026-05-15 09:48:36.073
2042	2	2	0	7	-17	0.00	16.49	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2288	1	2	0	4	-17	0.00	9.34	4	FAST_RELIABLE	2026-05-15 09:48:36.073
2583	2	2	0	4.5	-9	0.00	9.11	3.5	GOOD_DELIVERY	2026-05-15 09:48:36.073
370	1	1	0	6	-4	0.00	8.29	1	GOOD_DELIVERY	2026-05-15 09:48:36.073
605	31	32	1	14.53	-17.22	3.13	17.81	4.13	FAST_RELIABLE	2026-05-15 09:48:36.073
2265	18	22	0	4.73	-9.77	0.00	10.66	4.64	FAST_RELIABLE	2026-05-15 09:48:36.073
1103	9	10	1	4.7	-9.7	10.00	9.75	4.9	GOOD_DELIVERY	2026-05-15 09:48:36.073
771	8	10	2	15.9	-6.5	20.00	18.21	4.1	REGULAR	2026-05-15 09:48:36.073
273	27	35	1	9.54	-16.14	2.86	16.10	4.63	FAST_RELIABLE	2026-05-15 09:48:36.073
1269	2	0	0	NULL	NULL	0.00	14.12	1	GOOD_DELIVERY	2026-05-15 09:48:36.073
1767	5	5	0	15.8	-21.6	0.00	40.29	4.6	FAST_RELIABLE	2026-05-15 09:48:36.073
2763	1	1	0	15	-13	0.00	18.23	5	FAST_RELIABLE	2026-05-15 09:48:36.073
