seller_sk	total_orders	delivered_orders	delayed_orders	avg_delivery_days	avg_estimated_gap_days	delay_rate	avg_freight_value	avg_review_score	delivery_segment	dwh_create_date
2399	44	43	2	11.12	-15.19	4.55	21.70	4.48	FAST_RELIABLE	2026-05-15 09:48:36.073
2940	9	30	0	15.5	-9.97	0.00	22.20	4.7	FAST_RELIABLE	2026-05-15 09:48:36.073
3063	8	8	0	8.63	-9.63	0.00	17.89	4.63	FAST_RELIABLE	2026-05-15 09:48:36.073
1735	3	8	7	42.13	10.5	87.50	16.45	1	DELIVERY_RISK	2026-05-15 09:48:36.073
1998	65	67	6	11.45	-12.82	8.96	15.78	3.81	GOOD_DELIVERY	2026-05-15 09:48:36.073
670	5	10	0	8.5	-14.6	0.00	19.20	4.6	FAST_RELIABLE	2026-05-15 09:48:36.073
1251	3	2	0	8	-12.5	0.00	55.33	2.67	GOOD_DELIVERY	2026-05-15 09:48:36.073
1002	7	8	0	10.38	-12	0.00	18.52	4.13	FAST_RELIABLE	2026-05-15 09:48:36.073
919	2	2	0	12.5	-12	0.00	29.94	3	GOOD_DELIVERY	2026-05-15 09:48:36.073
1357	3	3	0	6.33	-13.33	0.00	39.67	3.67	GOOD_DELIVERY	2026-05-15 09:48:36.073
361	3	3	0	12	-12.33	0.00	19.17	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1689	7	7	0	9.86	-17.14	0.00	20.79	2	GOOD_DELIVERY	2026-05-15 09:48:36.073
564	5	6	0	14.17	-26	0.00	19.88	4.33	FAST_RELIABLE	2026-05-15 09:48:36.073
232	1	1	1	22	2	100.00	59.33	3	DELIVERY_RISK	2026-05-15 09:48:36.073
2685	1	1	0	7	-15	0.00	19.19	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2625	9	9	0	11.78	-12.78	0.00	17.93	4.8	FAST_RELIABLE	2026-05-15 09:48:36.073
1297	18	22	1	8.14	-14.05	4.55	15.26	4.55	FAST_RELIABLE	2026-05-15 09:48:36.073
965	6	6	1	13.5	-6.83	16.67	12.68	4	REGULAR	2026-05-15 09:48:36.073
2293	2	2	2	48	23.5	100.00	18.81	3	DELIVERY_RISK	2026-05-15 09:48:36.073
1606	91	104	9	13.23	-10.98	8.65	15.34	4.18	GOOD_DELIVERY	2026-05-15 09:48:36.073
278	123	146	12	12.01	-10.02	8.16	59.70	4.14	GOOD_DELIVERY	2026-05-15 09:48:36.073
1938	16	17	4	10.29	-7.65	23.53	17.00	4.41	REGULAR	2026-05-15 09:48:36.073
610	4	4	0	5.75	-9	0.00	13.08	5	FAST_RELIABLE	2026-05-15 09:48:36.073
315	1	1	1	14	7	100.00	15.92	1	DELIVERY_RISK	2026-05-15 09:48:36.073
3080	88	90	3	8.91	-11.69	3.33	20.22	4.21	FAST_RELIABLE	2026-05-15 09:48:36.073
169	87	88	1	9.55	-14.81	1.12	16.84	4.3	FAST_RELIABLE	2026-05-15 09:48:36.073
1503	61	65	4	12.8	-15.31	5.63	27.77	3.55	GOOD_DELIVERY	2026-05-15 09:48:36.073
418	9	9	3	18.22	-5.78	33.33	14.01	4.33	DELIVERY_RISK	2026-05-15 09:48:36.073
424	2	3	0	12	-16.33	0.00	17.66	4.33	FAST_RELIABLE	2026-05-15 09:48:36.073
2831	3	4	0	9	-28.25	0.00	16.43	4.75	FAST_RELIABLE	2026-05-15 09:48:36.073
1752	1	1	0	11	-13	0.00	29.75	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2980	26	26	2	11.73	-11.23	7.69	16.52	4	GOOD_DELIVERY	2026-05-15 09:48:36.073
1105	39	43	1	14.98	-19.05	2.27	15.84	4.73	FAST_RELIABLE	2026-05-15 09:48:36.073
2439	81	82	6	10.13	-10.79	7.32	17.64	4.05	GOOD_DELIVERY	2026-05-15 09:48:36.073
2144	6	7	0	8	-9.57	0.00	14.08	4	FAST_RELIABLE	2026-05-15 09:48:36.073
816	1	1	0	10	-21	0.00	15.50	4	FAST_RELIABLE	2026-05-15 09:48:36.073
2044	54	54	8	17.94	-10.69	14.55	20.39	4.05	REGULAR	2026-05-15 09:48:36.073
2877	3	2	0	15	-7.5	0.00	44.14	2.67	GOOD_DELIVERY	2026-05-15 09:48:36.073
2731	5	5	0	12.4	-9.8	0.00	40.22	4.8	FAST_RELIABLE	2026-05-15 09:48:36.073
2190	1	2	0	14	-14	0.00	21.49	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1506	1143	1139	67	11.11	-11.78	5.81	17.81	4.2	GOOD_DELIVERY	2026-05-15 09:48:36.073
3000	117	123	8	12.29	-11.97	6.35	23.68	4.07	GOOD_DELIVERY	2026-05-15 09:48:36.073
1838	63	64	4	13.38	-10.19	6.25	18.94	3.97	GOOD_DELIVERY	2026-05-15 09:48:36.073
2004	8	9	0	10.56	-16.89	0.00	18.90	4.89	FAST_RELIABLE	2026-05-15 09:48:36.073
2502	4	7	3	14.43	-15	42.86	29.86	4.86	DELIVERY_RISK	2026-05-15 09:48:36.073
2336	1	1	0	14	-9	0.00	14.10	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2857	17	27	6	14.67	-6.33	18.18	28.47	2.67	REGULAR	2026-05-15 09:48:36.073
2359	1	1	0	13	-17	0.00	30.05	2	GOOD_DELIVERY	2026-05-15 09:48:36.073
1128	2	2	0	12.5	-32.5	0.00	28.55	4.5	FAST_RELIABLE	2026-05-15 09:48:36.073
2124	7	6	0	9.83	-20.67	0.00	15.86	3.27	GOOD_DELIVERY	2026-05-15 09:48:36.073
132	6	6	0	9	-12.5	0.00	19.22	4.17	FAST_RELIABLE	2026-05-15 09:48:36.073
1457	2	2	0	18.5	-6.5	0.00	115.35	5	FAST_RELIABLE	2026-05-15 09:48:36.073
464	1	1	0	11	-16	0.00	14.77	5	FAST_RELIABLE	2026-05-15 09:48:36.073
793	1	1	0	18	-21	0.00	77.47	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2147	335	348	30	13.98	-10.03	8.31	17.93	4.07	GOOD_DELIVERY	2026-05-15 09:48:36.073
2479	9	9	0	5	-14.22	0.00	28.56	4.44	FAST_RELIABLE	2026-05-15 09:48:36.073
1483	11	11	0	7.27	-13.82	0.00	16.81	4.91	FAST_RELIABLE	2026-05-15 09:48:36.073
438	12	12	0	8.08	-17.67	0.00	89.77	4.75	FAST_RELIABLE	2026-05-15 09:48:36.073
2837	1121	1161	123	13.31	-10.03	10.46	14.54	3.93	REGULAR	2026-05-15 09:48:36.073
750	40	39	6	13.77	-10.33	15.00	22.42	4.33	REGULAR	2026-05-15 09:48:36.073
673	16	17	2	10.82	-10.65	11.76	24.69	3.94	REGULAR	2026-05-15 09:48:36.073
1171	8	8	0	6.13	-13.63	0.00	21.63	4.75	FAST_RELIABLE	2026-05-15 09:48:36.073
507	6	6	1	14	-7.5	16.67	12.77	4	REGULAR	2026-05-15 09:48:36.073
2665	4	4	0	6	-11.75	0.00	14.32	4.75	FAST_RELIABLE	2026-05-15 09:48:36.073
2671	1	1	0	18	-11	0.00	20.70	5	FAST_RELIABLE	2026-05-15 09:48:36.073
109	25	26	1	5.5	-11.15	3.70	17.16	4.37	FAST_RELIABLE	2026-05-15 09:48:36.073
1271	22	23	3	12.61	-13	13.04	18.34	3.65	REGULAR	2026-05-15 09:48:36.073
650	26	30	5	12.77	-8.3	16.67	13.63	3.57	REGULAR	2026-05-15 09:48:36.073
607	6	6	0	14.83	-26	0.00	45.65	3.83	GOOD_DELIVERY	2026-05-15 09:48:36.073
773	8	8	2	18.13	-5.38	25.00	28.86	2.75	REGULAR	2026-05-15 09:48:36.073
1812	10	9	2	13.56	-7.56	20.00	17.94	4	REGULAR	2026-05-15 09:48:36.073
1148	4	4	0	6.5	-12.25	0.00	16.60	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1314	2	1	0	11	-14	0.00	13.79	3	GOOD_DELIVERY	2026-05-15 09:48:36.073
2814	1	1	0	27	-9	0.00	58.53	4	FAST_RELIABLE	2026-05-15 09:48:36.073
1463	64	69	2	10.64	-15.49	2.90	51.35	4.12	FAST_RELIABLE	2026-05-15 09:48:36.073
630	8	8	0	10.75	-12.63	0.00	30.78	4.63	FAST_RELIABLE	2026-05-15 09:48:36.073
458	36	36	3	12.39	-12.5	7.89	18.46	4.24	GOOD_DELIVERY	2026-05-15 09:48:36.073
2545	1	0	0	NULL	NULL	0.00	9.05	1	GOOD_DELIVERY	2026-05-15 09:48:36.073
1291	1	1	0	4	-13	0.00	14.74	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2645	8	8	0	8	-11	0.00	16.47	4.63	FAST_RELIABLE	2026-05-15 09:48:36.073
481	1	1	0	16	-12	0.00	17.21	4	FAST_RELIABLE	2026-05-15 09:48:36.073
2522	16	20	0	13.9	-15.7	0.00	49.48	3.52	GOOD_DELIVERY	2026-05-15 09:48:36.073
2104	9	12	0	7.17	-15.17	0.00	13.64	4.83	FAST_RELIABLE	2026-05-15 09:48:36.073
1981	3	4	0	12.75	-12	0.00	24.41	4.25	FAST_RELIABLE	2026-05-15 09:48:36.073
1440	2	2	0	12	-13	0.00	11.03	3.5	GOOD_DELIVERY	2026-05-15 09:48:36.073
1334	166	174	12	12.05	-10.76	6.82	18.53	3.87	GOOD_DELIVERY	2026-05-15 09:48:36.073
1832	26	29	1	5.79	-13.07	3.45	14.55	4.07	FAST_RELIABLE	2026-05-15 09:48:36.073
338	9	9	1	19	-12.56	11.11	24.52	3.78	REGULAR	2026-05-15 09:48:36.073
89	4	4	0	5.25	-7	0.00	16.57	4.75	FAST_RELIABLE	2026-05-15 09:48:36.073
836	2	2	0	17.5	-19	0.00	52.38	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1085	3	1	0	7	-48	0.00	16.35	2.33	GOOD_DELIVERY	2026-05-15 09:48:36.073
1583	3	5	0	8	-8.2	0.00	10.07	4.2	FAST_RELIABLE	2026-05-15 09:48:36.073
587	1	1	0	15	-20	0.00	58.04	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1191	10	11	2	13.18	-11	18.18	14.15	3.91	REGULAR	2026-05-15 09:48:36.073
1228	7	0	0	NULL	NULL	0.00	14.56	2	GOOD_DELIVERY	2026-05-15 09:48:36.073
2353	3	2	0	15.5	-13	0.00	12.61	2.33	GOOD_DELIVERY	2026-05-15 09:48:36.073
2900	5	5	0	8.2	-16.4	0.00	27.07	4.2	FAST_RELIABLE	2026-05-15 09:48:36.073
195	3	3	1	15.33	-9.67	33.33	20.38	3.67	DELIVERY_RISK	2026-05-15 09:48:36.073
693	1	1	0	11	-8	0.00	19.04	4	FAST_RELIABLE	2026-05-15 09:48:36.073
730	2	2	0	9	-7.5	0.00	131.85	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2210	31	34	1	6.82	-13.56	2.94	25.77	3.97	GOOD_DELIVERY	2026-05-15 09:48:36.073
2957	5	7	1	10.57	-6.43	14.29	10.65	2.86	REGULAR	2026-05-15 09:48:36.073
1961	8	8	0	10.88	-20	0.00	13.42	3.88	GOOD_DELIVERY	2026-05-15 09:48:36.073
3043	1	1	0	8	-28	0.00	17.35	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2565	9	9	3	17.56	-5	33.33	18.35	3.89	DELIVERY_RISK	2026-05-15 09:48:36.073
979	13	14	0	14.71	-14.21	0.00	41.57	4.36	FAST_RELIABLE	2026-05-15 09:48:36.073
2602	4	3	0	12	-13	0.00	16.26	3.5	GOOD_DELIVERY	2026-05-15 09:48:36.073
942	1	2	0	12	-10	0.00	71.72	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2024	1	1	0	5	-7	0.00	14.08	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1918	13	14	0	8.86	-15.5	0.00	19.51	4.93	FAST_RELIABLE	2026-05-15 09:48:36.073
2416	8	9	0	10.22	-14.22	0.00	19.41	4.22	FAST_RELIABLE	2026-05-15 09:48:36.073
1669	5	5	0	7.2	-18.8	0.00	14.99	4.4	FAST_RELIABLE	2026-05-15 09:48:36.073
2167	4	8	0	4.38	-9	0.00	11.21	4.38	FAST_RELIABLE	2026-05-15 09:48:36.073
3	1	0	0	NULL	NULL	0.00	17.94	1	GOOD_DELIVERY	2026-05-15 09:48:36.073
252	1	0	0	NULL	NULL	0.00	10.96	1	GOOD_DELIVERY	2026-05-15 09:48:36.073
2310	116	114	6	12.41	-15.49	5.13	23.16	4.21	GOOD_DELIVERY	2026-05-15 09:48:36.073
1818	30	34	0	13.5	-11.5	0.00	24.80	3.83	GOOD_DELIVERY	2026-05-15 09:48:36.073
1775	43	57	9	11.81	-16.61	15.52	18.54	3.74	REGULAR	2026-05-15 09:48:36.073
152	159	173	11	10.29	-11.82	6.18	14.34	3.89	GOOD_DELIVERY	2026-05-15 09:48:36.073
1277	5	5	0	7.8	-12.2	0.00	27.63	4.2	FAST_RELIABLE	2026-05-15 09:48:36.073
2316	9	9	1	11.33	-11	11.11	20.83	4.78	REGULAR	2026-05-15 09:48:36.073
146	1	1	0	3	-15	0.00	10.96	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1769	13	14	0	12.5	-9.86	0.00	19.80	2.93	GOOD_DELIVERY	2026-05-15 09:48:36.073
2459	74	81	19	19.96	-4.9	23.17	18.75	3.49	REGULAR	2026-05-15 09:48:36.073
544	4	4	0	15.75	-14.75	0.00	19.37	2.6	GOOD_DELIVERY	2026-05-15 09:48:36.073
1626	3	3	1	18	-3.33	33.33	13.56	5	DELIVERY_RISK	2026-05-15 09:48:36.073
1377	7	7	0	4.71	-6.71	0.00	12.70	4.14	FAST_RELIABLE	2026-05-15 09:48:36.073
2708	2	2	0	3.5	-3.5	0.00	7.44	4.5	FAST_RELIABLE	2026-05-15 09:48:36.073
1526	19	19	3	15.74	-5.42	15.79	19.09	4	REGULAR	2026-05-15 09:48:36.073
985	7	7	1	16.43	-9.71	14.29	28.42	3.57	REGULAR	2026-05-15 09:48:36.073
444	6	6	0	14.67	-8.83	0.00	14.29	2.43	GOOD_DELIVERY	2026-05-15 09:48:36.073
2067	2	1	0	9	-24	0.00	7.93	1.5	GOOD_DELIVERY	2026-05-15 09:48:36.073
2608	1	1	0	13	-23	0.00	18.73	4	FAST_RELIABLE	2026-05-15 09:48:36.073
1755	76	80	5	9.95	-10.74	6.10	13.22	4.21	GOOD_DELIVERY	2026-05-15 09:48:36.073
3083	2	2	0	10.5	-20.5	0.00	16.22	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2087	5	12	0	13.92	-15.92	0.00	27.49	4	FAST_RELIABLE	2026-05-15 09:48:36.073
2751	2	2	1	21	-2.5	50.00	18.23	3	DELIVERY_RISK	2026-05-15 09:48:36.073
2419	2	3	0	8.67	-10.67	0.00	10.56	4.67	FAST_RELIABLE	2026-05-15 09:48:36.073
2064	128	130	6	12.42	-13.12	4.62	18.48	4.38	FAST_RELIABLE	2026-05-15 09:48:36.073
1400	37	43	0	7.84	-14.12	0.00	14.65	4.33	FAST_RELIABLE	2026-05-15 09:48:36.073
3060	34	34	1	8.85	-16.41	2.94	28.70	4.56	FAST_RELIABLE	2026-05-15 09:48:36.073
736	17	20	2	14	-10.5	10.00	22.01	4.35	GOOD_DELIVERY	2026-05-15 09:48:36.073
1732	13	11	0	17	-11.82	0.00	13.94	3.13	GOOD_DELIVERY	2026-05-15 09:48:36.073
189	22	25	1	9.84	-12.04	4.00	14.36	4.64	FAST_RELIABLE	2026-05-15 09:48:36.073
2728	8	20	0	8	-14.45	0.00	15.04	2.8	GOOD_DELIVERY	2026-05-15 09:48:36.073
2396	2	3	0	4.67	-8	0.00	11.34	3.67	GOOD_DELIVERY	2026-05-15 09:48:36.073
1068	1	0	0	NULL	NULL	0.00	35.45	3	GOOD_DELIVERY	2026-05-15 09:48:36.073
521	1	1	0	12	-14	0.00	18.45	3	GOOD_DELIVERY	2026-05-15 09:48:36.073
2774	28	27	3	12.04	-14.78	10.34	26.85	4.34	REGULAR	2026-05-15 09:48:36.073
2442	8	9	0	4.89	-11.67	0.00	21.56	4.67	FAST_RELIABLE	2026-05-15 09:48:36.073
1586	97	97	4	11.48	-16.06	4.04	27.26	4.25	FAST_RELIABLE	2026-05-15 09:48:36.073
335	33	37	4	13.97	-11.41	10.81	16.56	4.54	REGULAR	2026-05-15 09:48:36.073
2914	16	22	2	13.95	-10.18	9.09	13.09	4.36	GOOD_DELIVERY	2026-05-15 09:48:36.073
922	5	5	0	6	-12.6	0.00	43.00	4.4	FAST_RELIABLE	2026-05-15 09:48:36.073
2920	2	3	0	7	-13	0.00	86.02	2.33	GOOD_DELIVERY	2026-05-15 09:48:36.073
999	2	2	0	10	-11.5	0.00	7.65	5	FAST_RELIABLE	2026-05-15 09:48:36.073
2250	2	3	0	10.67	-38.33	0.00	31.23	2.33	GOOD_DELIVERY	2026-05-15 09:48:36.073
1609	13	17	0	9	-17.06	0.00	17.57	4.76	FAST_RELIABLE	2026-05-15 09:48:36.073
2273	3	3	2	22.67	0	66.67	14.48	2.33	DELIVERY_RISK	2026-05-15 09:48:36.073
2937	1	1	0	5	-21	0.00	24.00	5	FAST_RELIABLE	2026-05-15 09:48:36.073
1709	931	993	103	12.6	-9.97	10.24	13.91	3.98	REGULAR	2026-05-15 09:48:36.073
