cohort_month	retention_month	retained_customers	cohort_size	retention_rate	dwh_create_date
2018-06-01	0	5820	5820	100.00	2026-05-14 09:36:55.620
2017-03-01	10	10	2635	0.38	2026-05-14 09:36:55.620
2017-08-01	0	4182	4182	100.00	2026-05-14 09:36:55.620
2017-01-01	2	2	762	0.26	2026-05-14 09:36:55.620
2017-12-01	4	14	5483	0.26	2026-05-14 09:36:55.620
2017-04-01	16	5	2328	0.21	2026-05-14 09:36:55.620
2017-02-01	2	5	1737	0.29	2026-05-14 09:36:55.620
2016-10-01	17	1	317	0.32	2026-05-14 09:36:55.620
2017-04-01	13	1	2328	0.04	2026-05-14 09:36:55.620
2017-03-01	13	3	2635	0.11	2026-05-14 09:36:55.620
2018-05-01	0	6562	6562	100.00	2026-05-14 09:36:55.620
2018-01-01	4	20	7001	0.29	2026-05-14 09:36:55.620
2017-10-01	2	11	4472	0.25	2026-05-14 09:36:55.620
2017-11-01	2	28	7305	0.38	2026-05-14 09:36:55.620
2017-12-01	1	15	5483	0.27	2026-05-14 09:36:55.620
2017-09-01	3	12	4116	0.29	2026-05-14 09:36:55.620
2018-01-01	1	25	7001	0.36	2026-05-14 09:36:55.620
2017-11-01	5	13	7305	0.18	2026-05-14 09:36:55.620
2017-09-01	0	4116	4116	100.00	2026-05-14 09:36:55.620
2018-07-01	2	2	5524	0.04	2026-05-14 09:36:55.620
2018-08-01	2	2	6190	0.03	2026-05-14 09:36:55.620
2017-01-01	19	1	762	0.13	2026-05-14 09:36:55.620
2017-05-01	15	8	3582	0.22	2026-05-14 09:36:55.620
2017-05-01	12	9	3582	0.25	2026-05-14 09:36:55.620
2018-04-01	1	34	6328	0.54	2026-05-14 09:36:55.620
