date_sk	full_date	year_num	quarter_num	month_num	month_name	day_num	day_name	week_num	is_weekend	dwh_create_date
20160302	2016-03-02	2016	1	3	03	2	수요일	10	0	2026-05-13 10:16:29.780
20160303	2016-03-03	2016	1	3	03	3	목요일	10	0	2026-05-13 10:16:29.780
20160304	2016-03-04	2016	1	3	03	4	금요일	10	0	2026-05-13 10:16:29.780
20160305	2016-03-05	2016	1	3	03	5	토요일	10	0	2026-05-13 10:16:29.780
20160306	2016-03-06	2016	1	3	03	6	일요일	11	0	2026-05-13 10:16:29.780
20160307	2016-03-07	2016	1	3	03	7	월요일	11	0	2026-05-13 10:16:29.780
20160308	2016-03-08	2016	1	3	03	8	화요일	11	0	2026-05-13 10:16:29.780
20160309	2016-03-09	2016	1	3	03	9	수요일	11	0	2026-05-13 10:16:29.780
20160310	2016-03-10	2016	1	3	03	10	목요일	11	0	2026-05-13 10:16:29.780
20160311	2016-03-11	2016	1	3	03	11	금요일	11	0	2026-05-13 10:16:29.780
20160312	2016-03-12	2016	1	3	03	12	토요일	11	0	2026-05-13 10:16:29.780
20160313	2016-03-13	2016	1	3	03	13	일요일	12	0	2026-05-13 10:16:29.780
20160314	2016-03-14	2016	1	3	03	14	월요일	12	0	2026-05-13 10:16:29.780
20160315	2016-03-15	2016	1	3	03	15	화요일	12	0	2026-05-13 10:16:29.780
20160316	2016-03-16	2016	1	3	03	16	수요일	12	0	2026-05-13 10:16:29.780
20160317	2016-03-17	2016	1	3	03	17	목요일	12	0	2026-05-13 10:16:29.780
20160318	2016-03-18	2016	1	3	03	18	금요일	12	0	2026-05-13 10:16:29.780
20160319	2016-03-19	2016	1	3	03	19	토요일	12	0	2026-05-13 10:16:29.780
20160320	2016-03-20	2016	1	3	03	20	일요일	13	0	2026-05-13 10:16:29.780
20160321	2016-03-21	2016	1	3	03	21	월요일	13	0	2026-05-13 10:16:29.780
20160322	2016-03-22	2016	1	3	03	22	화요일	13	0	2026-05-13 10:16:29.780
20160323	2016-03-23	2016	1	3	03	23	수요일	13	0	2026-05-13 10:16:29.780
20160324	2016-03-24	2016	1	3	03	24	목요일	13	0	2026-05-13 10:16:29.780
20160325	2016-03-25	2016	1	3	03	25	금요일	13	0	2026-05-13 10:16:29.780
20160326	2016-03-26	2016	1	3	03	26	토요일	13	0	2026-05-13 10:16:29.780
20160327	2016-03-27	2016	1	3	03	27	일요일	14	0	2026-05-13 10:16:29.780
20160328	2016-03-28	2016	1	3	03	28	월요일	14	0	2026-05-13 10:16:29.780
20160329	2016-03-29	2016	1	3	03	29	화요일	14	0	2026-05-13 10:16:29.780
20160330	2016-03-30	2016	1	3	03	30	수요일	14	0	2026-05-13 10:16:29.780
20160331	2016-03-31	2016	1	3	03	31	목요일	14	0	2026-05-13 10:16:29.780
20160401	2016-04-01	2016	2	4	04	1	금요일	14	0	2026-05-13 10:16:29.780
20160402	2016-04-02	2016	2	4	04	2	토요일	14	0	2026-05-13 10:16:29.780
20160403	2016-04-03	2016	2	4	04	3	일요일	15	0	2026-05-13 10:16:29.780
20160404	2016-04-04	2016	2	4	04	4	월요일	15	0	2026-05-13 10:16:29.780
